token						lexeme
-------------------------------------------------------------------------------
identifier					while
separator					(
identifier					fahr
operator					<
identifier					upper
separator					)
identifier					abc123
identifier					bcd0
unknown						}
unknown						{
unknown						}
identifier					a
operator					==
integer						23
separator					;
unknown						?
integer						123
separator					;
operator					/
operator					/
identifier					This
identifier					is
identifier					to
identifier					test
operator					/
operator					/
identifier					a
operator					=
integer						1
separator					;
identifier					b
operator					==
integer						2
separator					;
identifier					c
operator					==
operator					=
integer						3
separator					;
identifier					This
identifier					is
identifier					line
integer						9
separator					;
identifier					Ten
separator					;
